證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"4739","康普","339,586","12,281,158","34.60","36.55","34.60","36.55","+3.30","258"
"4746","台耀","8,251,585","256,667,320","32.30","32.35","30.20","31.60","+0.65","4,888"
"4755","三福化","24,000","1,001,450","41.50","42.00","41.30","41.85","+1.45","24"
"4763","材料-KY","236,033","22,298,078","92.90","96.10","92.80","92.90","+1.40","200"
"4764","雙鍵","58,200","2,919,950","51.70","51.70","49.25","50.00","+1.70","34"
"4766","南寶","319,244","33,729,852","103.50","107.50","103.00","106.50","+6.00","258"
"4807","日成-KY","21,009","395,030","18.50","19.60","18.50","19.15","+0.65","26"
"4904","遠傳","4,698,722","295,911,868","61.40","63.50","61.40","63.40","+2.00","2,665"
"4906","正文","2,997,981","54,862,385","17.90","18.65","17.90","18.25","+0.80","1,450"
"4912","聯德控股-KY","167,158","11,119,673","64.90","68.20","64.10","68.20","+6.20","132"
"4915","致伸","3,696,397","145,152,337","38.40","39.70","38.40","39.40","+2.90","2,161"
"4916","事欣科","422,201","9,709,804","22.80","23.25","22.60","23.00","+1.20","299"
"4919","新唐","1,697,411","52,578,321","31.65","31.65","30.55","30.60","+0.80","1,215"
"4927","泰鼎-KY","10,831,746","570,738,461","53.60","54.20","51.10","51.40","-1.10","7,244"
"4930","燦星網","132,000","1,043,910","7.77","8.04","7.55","8.00","+0.69","61"
"4934","太極","2,096,538","24,459,809","11.30","11.75","11.30","11.75","+1.05","650"
"4935","茂林-KY","3,913,372","384,155,067","98.30","98.30","95.00","98.30","+8.90","1,407"
"4938","和碩","8,781,625","482,747,175","54.00","55.50","54.00","54.90","+3.00","4,427"
"4942","嘉彰","699,304","20,006,824","28.45","28.85","28.35","28.45","+0.75","379"
"4943","康控-KY","4,199,326","385,589,869","90.80","93.90","89.50","92.40","+7.00","3,174"
"4952","凌通","365,100","9,477,135","25.70","26.40","25.70","25.80","+0.80","224"
"4956","光鋐","258,280","2,152,951","8.05","8.40","8.05","8.38","+0.44","205"
"4958","臻鼎-KY","9,277,925","806,159,934","86.00","88.20","85.00","86.80","+5.70","5,718"
"4960","誠美材","1,225,701","5,278,034","4.10","4.38","4.10","4.30","+0.31","178"
"4961","天鈺","984,000","22,754,950","22.90","23.40","22.60","22.90","+0.95","612"
"4967","十銓","362,000","10,407,500","28.75","28.75","28.75","28.75","+2.60","129"
"4968","立積","3,673,330","436,028,913","119.00","119.50","116.50","119.00","+10.00","2,544"
"4976","佳凌","841,508","13,219,875","14.90","15.80","14.90","15.80","+1.40","419"
"4977","眾達-KY","3,764,315","310,090,207","82.50","84.50","80.00","81.60","+3.10","2,766"
"4989","榮科","232,000","3,201,600","13.35","13.90","13.35","13.80","+0.85","122"
"4994","傳奇","288,007","13,027,220","43.70","45.80","43.70","45.20","+3.55","218"
"4999","鑫禾","141,159","4,117,526","28.25","29.50","28.25","29.50","+2.15","115"
"5007","三星","625,031","26,722,940","44.60","45.40","43.80","45.00","+1.45","112"
"5203","訊連","1,261,553","123,858,518","95.30","99.50","95.30","99.50","+9.00","916"
"5215","科嘉-KY","1,122,868","63,168,425","55.10","58.00","55.10","55.40","+2.20","811"
"5225","東科-KY","508,478","11,537,652","22.20","23.20","22.10","22.80","+1.70","300"
"5234","達興材料","632,317","44,089,848","69.20","70.80","68.40","68.60","+1.40","475"
"5243","乙盛-KY","608,050","15,888,995","26.10","26.50","25.80","25.85","+0.65","354"
"5258","虹堡","280,000","4,926,550","17.00","18.00","17.00","17.50","+1.05","161"
"5264","鎧勝-KY","2,247,100","82,719,285","37.15","37.70","35.90","35.95","-0.50","1,262"
"5269","祥碩","2,068,734","1,489,129,534","751.00","751.00","685.00","701.00","+3.00","1,903"
"5283","禾聯碩","553,669","49,140,707","89.10","89.10","87.30","89.10","+8.10","350"
"5284","jpp-KY","42,367","1,381,570","33.00","33.45","31.40","32.15","-0.15","36"
"5285","界霖","607,000","23,088,000","37.15","38.60","37.15","37.90","+1.65","330"
"5288","豐祥-KY","199,000","17,409,900","86.20","88.70","86.20","87.00","+2.20","138"
"5305","敦南","388,364","14,812,182","38.10","38.80","37.75","38.25","+0.75","221"
"5388","中磊","1,534,438","95,267,342","62.00","62.60","61.50","61.80","+1.10","918"
"5434","崇越","1,642,067","140,225,253","85.00","86.40","84.00","84.30","+2.10","1,309"
"5469","瀚宇博","9,626,718","303,560,552","31.10","31.90","30.80","31.60","+2.60","4,610"
"5471","松翰","4,611,440","161,082,022","35.50","35.90","34.25","34.25","-0.15","2,711"
"5484","慧友","35,676","238,712","6.71","6.73","6.63","6.63","-0.10","65"
"5515","建國","402,160","3,096,470","7.54","7.75","7.54","7.70","+0.35","184"
"5519","隆大","1,397,210","16,705,170","11.90","12.05","11.85","12.00","+0.55","476"
"5521","工信","2,961,025","18,856,323","6.35","6.44","6.26","6.42","+0.27","640"
"5522","遠雄","1,590,117","53,597,363","33.00","34.30","33.00","33.75","+1.85","934"
"5525","順天","194,620","3,586,780","18.10","18.65","18.10","18.60","+1.05","129"
"5531","鄉林","975,682","8,020,343","8.28","8.35","8.11","8.19","+0.17","327"
"5533","皇鼎","89,765","1,252,183","14.30","14.30","13.90","14.00","+0.50","19"
"5534","長虹","842,620","58,930,157","69.70","70.30","69.40","69.90","+2.30","567"
"5538","東明-KY","60,000","1,638,750","25.00","27.60","25.00","27.60","+2.50","23"
"5607","遠雄港","935,077","17,479,643","18.80","18.85","18.45","18.80","+0.75","308"
"5608","四維航","632,579","2,857,079","4.59","4.59","4.42","4.59","+0.23","244"
"5706","鳳凰","390,131","10,650,272","25.60","27.75","25.60","27.70","+2.45","219"
"5871","中租-KY","10,233,842","945,202,064","93.20","93.90","90.50","91.00","+3.90","6,363"
"5876","上海商銀","10,204,031","411,893,227","40.00","40.75","40.00","40.60","+1.90","4,196"
"5880","合庫金","45,341,391","823,710,231","18.00","18.35","18.00","18.15","+0.75","12,832"
"5906","台南-KY","52,000","916,850","17.50","18.20","17.30","18.20","+0.70","28"
"5907","大洋-KY","518,000","10,017,350","19.00","19.75","18.90","19.15","+0.55","271"
"6005","群益證","2,935,629","25,304,466","8.50","8.69","8.50","8.63","+0.27","889"
"6024","群益期","511,726","18,292,168","36.20","36.20","35.25","35.40","+0.40","361"
"6108","競國","705,000","13,005,600","17.80","18.95","17.80","18.60","+1.35","357"
"6112","聚碩","897,732","29,329,524","32.75","32.90","32.35","32.45","+0.65","529"
"6115","鎰勝","154,000","6,099,000","39.00","40.00","39.00","39.20","+0.90","110"
"6116","彩晶","27,201,577","142,194,016","5.18","5.28","5.13","5.25","+0.31","5,161"
"6117","迎廣","25,000","276,050","10.80","11.20","10.80","10.90","+0.40","16"
"6120","達運","1,651,326","13,968,966","8.38","8.60","8.30","8.39","+0.43","703"
"6128","上福","153,096","4,016,224","25.80","27.15","25.80","26.50","+1.05","79"
"6131","鈞泰","20,131","57,019","2.82","3.10","2.82","3.10","+0.28","58"
"6133","金橋","68,218","428,736","6.21","6.46","6.21","6.31","+0.06","45"
"6136","富爾特","320,621","5,273,273","16.50","16.55","16.20","16.45","+0.95","217"
"6139","亞翔","765,000","16,588,850","21.50","22.10","21.30","21.30","+0.60","458"
"6141","柏承","1,100,200","15,528,000","14.05","14.35","13.80","14.00","+0.40","463"
"6142","友勁","708,180","3,659,275","5.06","5.29","5.05","5.22","+0.17","133"
"6152","百一","113,026","512,478","4.65","4.65","4.45","4.53","+0.15","83"
"6153","嘉聯益","6,299,385","144,114,176","22.90","23.15","22.60","22.85","+1.55","3,120"
"6155","鈞寶","505,000","9,186,550","18.00","18.50","17.85","18.25","+0.95","340"
"6164","華興","206,652","1,010,645","4.71","5.02","4.71","4.89","+0.24","116"
"6165","捷泰","448,017","8,061,406","17.05","18.25","17.05","18.25","+1.65","176"
"6166","凌華","838,861","51,891,592","60.80","63.40","60.30","61.90","+1.80","615"
"6168","宏齊","480,270","5,016,198","10.25","10.55","10.25","10.50","+0.50","209"
"6172","互億","497,999","10,326,275","20.40","21.00","20.30","20.80","+0.40","207"
"6176","瑞儀","3,841,099","311,840,220","81.20","82.80","79.70","79.70","+2.40","2,450"
"6177","達麗","594,539","14,229,036","23.75","24.10","23.60","23.65","+0.65","259"
"6183","關貿","147,300","5,587,658","37.55","38.25","37.55","37.65","+0.40","111"
"6184","大豐電","162,700","6,376,476","39.80","39.80","38.80","39.15","+0.15","126"
"6189","豐藝","665,050","19,299,161","29.00","29.20","28.75","29.05","+0.90","425"
"6191","精成科","3,229,583","37,591,507","11.70","11.75","11.50","11.65","+0.75","997"
"6192","巨路","339,677","19,063,789","54.90","57.40","54.70","56.30","+2.80","229"
"6196","帆宣","2,637,250","151,516,998","55.80","58.40","55.80","56.80","+3.70","1,894"
"6197","佳必琪","1,335,280","33,772,565","24.80","25.70","24.80","25.30","+0.70","717"
"6201","亞弘電","37,100","1,163,160","31.00","31.50","31.00","31.40","+0.95","28"
"6202","盛群","1,679,060","100,568,385","60.00","60.70","59.10","59.30","+0.60","1,102"
"6205","詮欣","34,000","646,500","18.50","19.15","18.50","19.10","+0.90","26"
"6206","飛捷","403,057","24,873,526","62.00","62.50","60.70","60.90","+0.90","312"
"6209","今國光","973,810","17,261,311","17.20","18.00","17.05","17.80","+1.35","688"
"6213","聯茂","9,388,011","1,186,932,886","123.50","129.50","123.50","127.00","+9.00","6,333"
"6214","精誠","1,083,680","79,400,920","73.50","73.90","72.00","72.70","+0.90","788"
"6215","和椿","184,018","1,993,748","10.65","11.00","10.65","10.80","+0.40","112"
"6216","居易","108,070","2,555,849","23.85","24.00","23.35","23.40","+0.95","108"
"6224","聚鼎","434,056","23,383,104","54.50","54.90","53.00","53.10","+0.40","360"
"6225","天瀚","9,219","14,654","1.68","1.68","1.58","1.58"," 0.00","6"
"6226","光鼎","1,159,937","7,268,486","6.38","6.38","6.16","6.22","+0.11","399"
"6230","超眾","2,890,844","658,303,180","231.50","235.00","220.00","220.00","-5.00","2,344"
"6235","華孚","527,580","3,963,028","7.66","7.66","7.36","7.41","+0.21","217"
"6239","力成","8,225,862","660,428,322","77.80","82.30","77.10","80.40","+5.20","5,185"
"6243","迅杰","195,054","1,156,834","5.91","6.11","5.80","5.93","+0.28","121"
"6251","定穎","6,824,671","90,446,321","12.90","13.45","12.90","13.45","+1.20","1,598"
"6257","矽格","5,587,812","176,275,150","31.70","31.85","31.05","31.15","+0.90","3,012"
"6269","台郡","6,946,244","664,834,348","94.80","97.30","93.70","94.30","+3.30","4,697"
"6271","同欣電","4,952,475","525,846,562","105.00","108.50","104.00","105.50","+5.70","3,326"
"6277","宏正","290,990","22,645,720","77.10","78.80","77.10","77.40","+1.60","205"
"6278","台表科","8,704,305","598,174,688","67.20","69.50","66.50","69.50","+6.30","5,130"
"6281","全國電","76,257","4,837,348","63.00","63.90","63.00","63.70","+1.30","62"
"6282","康舒","3,172,922","56,468,246","17.95","18.00","17.60","17.70","+0.80","1,606"
"6283","淳安","164,101","2,230,873","13.30","13.60","13.30","13.60","+1.20","77"
"6285","啟碁","3,002,336","155,474,270","50.30","52.60","50.20","52.00","+3.70","2,109"
"6288","聯嘉","2,680,000","40,434,900","14.80","15.35","14.70","15.20","+1.15","1,000"
"6289","華上","8,774","12,804","1.45","1.50","1.45","1.50","+0.07","31"
"6405","悅城","131,000","1,353,150","10.30","10.50","10.15","10.40","+0.35","82"
"6409","旭隼","182,751","117,371,399","623.00","659.00","623.00","648.00","+38.00","194"
"6412","群電","1,138,246","53,718,921","47.10","47.90","47.00","47.10","+2.10","828"
"6414","樺漢","864,612","124,504,128","144.00","144.00","144.00","144.00","+13.00","565"
"6415","矽力-KY","1,282,359","1,260,456,180","999.00","1,010.00","958.00","988.00","+57.00","1,252"
"6416","瑞祺電通","6,192,310","723,859,840","118.00","123.00","109.00","112.00","-1.50","4,609"
"6431","光麗-KY","68,000","1,246,550","18.75","19.05","17.65","18.50","+1.05","40"
"6442","光聖","22,000","703,750","31.90","32.50","31.65","31.70","-0.10","21"
"6443","元晶","1,141,851","5,312,590","4.60","4.73","4.53","4.63","+0.24","371"
"6449","鈺邦","249,052","5,686,046","23.00","23.25","22.60","22.65","+1.10","170"
"6451","訊芯-KY","1,098,000","92,494,500","84.30","84.30","83.00","84.30","+7.60","760"
"6452","康友-KY","1,538,430","224,460,850","146.00","148.50","142.00","144.50","+5.50","1,125"
"6456","GIS-KY","3,448,644","264,627,825","75.30","77.60","75.30","76.20","+2.90","2,529"
"6464","台數科","11,025","1,173,175","106.00","107.00","106.00","107.00","+1.00","12"
"6477","安集","990,000","17,172,400","17.50","17.60","17.15","17.40","+0.20","254"
"6491","晶碩","382,718","35,314,460","95.50","95.60","89.70","89.70","+0.60","254"
"6504","南六","858,116","115,374,833","133.00","136.50","133.00","134.50","+4.50","664"
"6505","台塑化","4,835,301","382,376,133","79.40","79.80","78.00","78.50","+1.10","2,975"
"6525","捷敏-KY","383,125","17,697,235","45.50","46.50","45.50","46.20","+1.35","285"
"6531","愛普","5,675,030","510,908,209","88.70","93.90","86.00","87.00","+1.20","3,804"
"6533","晶心科","679,768","55,159,122","80.90","82.80","79.70","80.80","+3.80","615"
"6541","泰福-KY","596,659","17,929,881","29.20","30.70","28.95","30.70","+2.75","382"
"6552","易華電","1,353,122","61,248,412","44.80","45.75","44.55","45.30","+2.60","947"
"6558","興能高","1,007,507","30,130,610","29.00","30.10","29.00","30.10","+2.70","482"
"6573","虹揚-KY","96,792","1,315,409","13.80","13.80","13.35","13.35","+0.10","47"
"6579","研揚","85,000","5,008,400","58.90","60.20","58.00","58.20","+1.80","48"
"6581","鋼聯","99,035","4,895,351","49.65","51.20","48.65","48.65","+0.55","84"
"6582","申豐","463,000","30,652,300","64.50","68.20","64.30","67.00","+3.30","404"
"6591","動力-KY","513,240","16,707,270","31.90","33.00","31.80","32.40","+1.55","338"
"6592","和潤企業","3,116,560","195,439,831","62.00","63.90","61.70","62.70","+3.60","1,921"
"6605","帝寶","189,795","8,264,230","42.95","44.15","42.35","43.90","+3.20","153"
"6625","必應","16,200","514,449","32.55","32.55","30.95","31.95","+1.95","18"
"6641","基士德-KY","48,294","2,704,158","55.50","56.50","55.40","56.00","+3.00","34"
"6655","科定","21,000","746,850","35.95","36.20","35.25","35.65","+0.50","17"
"6666","羅麗芬-KY","82,200","8,445,800","103.00","104.00","102.00","102.00","+3.00","86"
"6668","中揚光","1,347,368","66,170,548","47.90","49.75","47.90","48.90","+2.60","865"
"6669","緯穎","2,011,511","1,393,868,947","695.00","707.00","674.00","677.00","+9.00","1,940"
"6670","復盛應用","1,543,651","244,209,519","160.50","163.50","154.00","155.00","-2.50","1,346"
"6671","三能-KY","45,000","1,476,400","34.30","34.30","32.30","33.20","+0.05","33"
"6672","騰輝電子-KY","1,124,196","84,587,475","74.90","76.20","74.20","75.40","+2.30","842"
"6674","鋐寶科技","73,000","1,272,350","17.50","17.80","17.20","17.25","+0.55","46"
"6698","旭暉應材","236,050","10,060,145","41.50","43.25","41.50","42.90","+3.50","191"
"6706","惠特","1,451,892","98,698,456","66.00","69.80","66.00","67.80","+3.20","1,019"
"6715","嘉基","254,050","19,205,795","74.50","77.80","73.20","73.80","+1.90","213"
"8011","台通","584,081","6,421,550","10.85","11.20","10.85","10.95","+0.45","277"
"8016","矽創","2,983,169","344,609,435","115.00","117.00","114.00","114.50","+4.50","2,244"
"8021","尖點","795,449","13,510,633","16.90","17.20","16.70","16.80","+0.35","387"
"8028","昇陽半導體","2,769,802","123,572,848","44.05","45.50","43.60","44.00","+1.90","2,073"
"8033","雷虎","337,000","2,206,469","6.47","6.65","6.46","6.54","+0.22","195"
"8039","台虹","3,610,222","153,501,831","41.50","43.30","41.45","42.15","+1.55","2,278"
"8046","南電","11,873,103","509,875,289","41.50","43.65","41.30","43.65","+3.95","5,371"
"8070","長華","326,531","45,669,964","140.00","141.50","138.00","140.00","+9.00","261"
"8072","陞泰","138,030","2,766,301","20.20","20.35","20.00","20.05"," 0.00","50"
"8081","致新","2,176,400","220,900,800","102.00","103.50","99.20","100.00","+1.50","1,609"
"8101","華冠","704,009","3,092,093","4.53","4.53","4.25","4.33","+0.10","234"
"8103","瀚荃","181,646","3,581,427","19.60","20.10","19.25","19.80","+0.40","128"
"8104","錸寶","227,453","6,592,994","29.05","29.40","28.50","28.70","+0.70","202"
"8105","凌巨","1,772,039","13,907,312","7.63","8.00","7.63","7.86","+0.50","714"
"8110","華東","1,274,057","9,852,013","7.80","7.80","7.60","7.74","+0.54","434"
"8112","至上","4,976,840","145,424,166","29.40","29.50","28.95","29.00","+0.60","2,919"
"8114","振樺電","162,510","11,609,423","69.00","72.50","69.00","71.60","+4.40","155"
"8131","福懋科","1,090,349","34,946,057","31.85","32.60","31.05","31.70","+0.75","623"
"8150","南茂","11,937,012","320,164,529","26.50","27.20","26.45","26.55","+0.75","5,848"
"8163","達方","2,244,963","66,959,409","29.70","30.15","29.55","29.60","+0.90","1,310"
"8201","無敵","93,786","647,092","7.12","7.12","6.77","6.92","+0.35","52"
"8210","勤誠","2,740,469","207,776,689","76.00","77.90","73.40","74.40","+1.50","1,993"
"8213","志超","5,898,644","167,731,299","27.85","29.20","27.70","29.20","+1.85","2,185"
"8215","明基材","3,705,500","52,958,270","14.30","14.70","13.85","13.85"," 0.00","1,523"
"8222","寶一","218,069","2,572,153","11.60","12.10","11.55","11.80","+0.40","143"
"8249","菱光","239,653","4,035,911","16.95","17.05","16.60","16.80","+0.55","162"
"8261","富鼎","661,808","11,594,825","17.10","17.80","17.10","17.65","+1.20","399"
"8271","宇瞻","4,127,949","150,396,592","36.00","37.25","35.35","36.60","+2.50","2,681"
"8341","日友","458,985","94,650,866","203.50","209.50","203.00","206.50","+9.50","485"
"8367","建新國際","51,043","1,054,783","20.25","20.90","20.25","20.45","+0.80","34"
"8374","羅昇","595,160","9,129,264","15.00","15.40","15.00","15.40","+1.40","170"
"8404","百和興業-KY","835,150","21,471,250","25.10","26.15","24.80","26.00","+1.85","471"
"8411","福貞-KY","135,470","1,280,968","9.87","9.87","9.40","9.45","+0.05","76"
"8422","可寧衛","649,576","90,968,495","139.50","140.50","139.50","140.50","+4.00","507"
"8427","基勝-KY","7,000","252,800","37.30","37.30","35.60","35.60","X0.00","6"
"8429","金麗-KY","666,836","4,220,457","6.25","6.40","6.25","6.30","+0.18","240"
"8442","威宏-KY","128,000","5,833,000","44.15","47.45","44.15","46.15","-0.30","67"
"8443","阿瘦","72,000","597,940","7.99","8.49","7.99","8.31","+0.41","60"
"8454","富邦媒","155,130","52,036,140","337.50","342.00","330.00","330.00","-1.50","160"
"8462","柏文","114,877","14,991,448","130.50","130.50","130.50","130.50","+11.50","98"
"8463","潤泰材","364,000","10,864,050","29.75","30.35","29.50","29.75","+1.00","221"
"8464","億豐","1,740,004","334,357,276","182.00","194.00","182.00","193.50","+17.00","1,221"
"8466","美吉吉-KY","28,015","1,683,715","60.50","60.50","59.30","60.40","+1.60","27"
"8467","波力-KY","29,026","1,142,811","41.00","41.00","38.15","38.15"," 0.00","18"
"8473","山林水","78,883","2,778,066","34.10","35.70","34.10","35.40","+1.70","75"
"8478","東哥遊艇","193,146","5,081,727","26.30","27.00","26.00","26.20","-0.10","116"
"8480","泰昇-KY","29,000","3,511,500","120.00","126.00","120.00","120.50","+4.50","29"
"8481","政伸","17,000","841,500","49.50","50.00","49.00","49.00","+0.40","13"
"8482","商億-KY","139,080","15,132,320","105.50","115.50","103.00","103.50","-1.50","113"
"8488","吉源-KY","11,000","138,400","12.30","13.05","12.30","13.05","+0.75","7"
"8497","格威傳媒","168,001","11,428,472","68.00","68.20","67.90","68.00"," 0.00","98"
"8499","鼎炫-KY","159,014","12,028,559","74.50","77.00","74.50","75.00","+2.00","141"
"8926","台汽電","2,714,591","79,297,944","29.10","29.80","28.75","28.90","+0.55","1,498"
"8940","新天地","27,000","254,500","9.47","9.47","9.30","9.30","+0.25","7"
"8996","高力","5,920,182","259,891,178","42.95","45.10","42.50","43.45","+1.85","3,336"
"9103","美德醫療-DR","4,313,003","15,844,859","3.77","3.77","3.60","3.68"," 0.00","909"
"910322","康師傅-DR","7,000","185,200","26.60","26.60","25.60","25.60","-0.85","5"
"910482","聖馬丁-DR","137,002","35,600","0.26","0.26","0.25","0.26","+0.02","19"
"9105","泰金寶-DR","5,696,327","13,664,961","2.36","2.43","2.35","2.40","+0.10","863"
"910861","神州-DR","3,000","19,610","6.41","6.60","6.41","6.60","+0.20","2"
"9110","越南控-DR","116,000","147,060","1.26","1.30","1.23","1.30","+0.03","27"
"911608","明輝-DR","4,000","3,790","0.92","0.96","0.92","0.95","+0.03","3"
"911616","杜康-DR","500,000","368,360","0.71","0.76","0.71","0.75","+0.04","72"
"911622","泰聚亨-DR","0","0","0.00","0.00","0.00","0.00"," 0.00","0"
"911868","同方友友-DR","2,000","1,950","1.00","1.00","0.95","0.95","-0.04","2"
"912000","晨訊科-DR","61,000","96,040","1.60","1.60","1.56","1.60","X0.00","16"
"912398","友佳-DR","94,000","244,990","2.56","2.63","2.55","2.63"," 0.00","6"
"9136","巨騰-DR","221,000","1,263,480","5.77","5.89","5.68","5.71","+0.07","58"
"9188","精熙-DR","250,000","666,730","2.67","2.67","2.64","2.67","+0.24","65"
"9802","鈺齊-KY","1,784,372","142,643,408","79.90","80.40","78.60","80.40","+7.30","1,005"
"9902","台火","205,264","1,534,750","7.70","7.70","7.31","7.38","+0.26","96"
"9904","寶成","11,857,590","300,858,442","25.10","25.90","24.85","25.20","+1.15","4,543"
"9905","大華","293,003","5,459,757","18.30","18.90","18.30","18.70","+0.55","150"
"9906","欣巴巴","48,001","862,167","17.75","18.40","17.70","17.70","-0.05","30"
"9907","統一實","1,778,865","14,627,881","8.10","8.30","8.10","8.22","+0.36","602"
"9908","大台北","221,000","6,276,850","28.20","28.70","28.20","28.30","+0.70","127"
"9910","豐泰","1,548,328","204,472,942","128.00","132.50","127.00","132.50","+12.00","963"
"9911","櫻花","571,581","23,040,930","39.95","40.65","39.55","40.45","+1.25","498"
"9912","偉聯","181,098","1,024,973","5.72","5.80","5.63","5.65","+0.14","63"
"9914","美利達","1,671,491","164,602,600","97.00","99.80","94.40","99.80","+9.00","938"
"9917","中保科","716,243","56,976,511","79.50","80.00","79.00","79.60","+1.70","893"
"9918","欣天然","29,008","918,864","31.35","32.00","31.35","31.45","+0.10","27"
"9919","康那香","11,364,281","207,887,516","18.35","18.60","18.05","18.10"," 0.00","4,627"
"9921","巨大","1,229,741","169,163,240","134.00","140.00","131.50","140.00","+12.50","780"
"9924","福興","563,813","20,257,235","35.15","36.25","35.15","35.75","+1.45","334"
"9925","新保","337,530","11,344,164","33.45","34.00","33.10","33.55","+0.95","206"
"9926","新海","16,002","623,726","38.80","39.20","38.80","38.85","+0.50","13"
"9927","泰銘","305,353","8,660,554","27.90","28.55","27.90","28.35","+0.75","167"
"9928","中視","59,013","221,345","3.51","4.00","3.51","3.96","+0.06","33"
"9929","秋雨","10,005","104,900","10.65","10.65","10.35","10.50","+0.05","13"
"9930","中聯資源","297,207","12,103,817","39.00","42.00","39.00","41.90","+3.25","247"
"9931","欣高","4,127","142,377","34.50","34.50","34.50","34.50","+0.05","15"
"9933","中鼎","3,326,669","92,467,847","26.85","28.35","26.85","27.70","+1.15","1,813"
"9934","成霖","1,165,060","13,649,356","11.40","11.90","11.40","11.75","+0.65","375"
"9935","慶豐富","909,000","17,726,300","19.35","19.75","19.25","19.60","+1.00","437"
"9937","全國","59,107","2,433,777","41.00","41.95","40.95","41.00"," 0.00","47"
"9938","百和","4,317,442","206,672,819","46.50","48.25","46.45","48.25","+4.35","2,213"
"9939","宏全","1,526,256","72,596,409","47.15","48.05","46.90","47.45","+1.90","1,021"
"9940","信義","680,066","16,101,054","23.00","24.25","23.00","23.85","+1.45","382"
"9941","裕融","1,320,271","113,544,306","84.40","87.80","84.00","85.90","+5.90","1,098"
"9941A","裕融甲特","19,106","974,573","51.20","51.20","50.60","50.80","+0.60","19"
"9942","茂順","256,183","15,100,023","58.00","60.00","57.50","58.00","+2.10","202"
"9943","好樂迪","878,684","49,051,707","54.00","56.90","54.00","55.70","+3.80","700"
"9944","新麗","1,142,000","17,193,100","15.30","15.50","14.70","14.90"," 0.00","545"
"9945","潤泰新","5,304,492","174,193,317","32.55","33.60","32.20","33.40","+1.95","2,641"
"9946","三發地產","270,800","2,992,337","11.05","11.05","11.05","11.05","+1.00","65"
"9955","佳龍","953,558","13,092,376","13.90","14.10","13.35","13.45","+0.10","460"
"9958","世紀鋼","6,277,015","479,647,924","76.80","77.60","75.20","75.30","+0.70","4,170"
